,blockid,addrptid,strctid,x,y,huestimate,residential
50,410079507001006,41007020933038029S001001A,41007020933038029S,-123.908996582,46.0143356323,1,1
51,410079507001006,41007020933038030S001001A,41007020933038030S,-123.908996582,46.0143356323,1,1
52,410079507001006,41007020933038031S002001A,41007020933038031S,-123.908996582,46.0143356323,2,1
54,410079507001006,41007020933038032S001001A,41007020933038032S,-123.908996582,46.0143356323,1,1
55,410079507001006,41007020933038033S001001A,41007020933038033S,-123.908996582,46.0143356323,1,1
56,410079507001006,41007020933038034S001001A,41007020933038034S,-123.908996582,46.0143356323,1,1
57,410079507001006,41007020933038035S001001A,41007020933038035S,-123.908996582,46.0143356323,1,1
58,410079507001006,41007020933038036S001001A,41007020933038036S,-123.908996582,46.0143356323,1,1
59,410079507001006,41007020933038037S001001A,41007020933038037S,-123.908996582,46.0143356323,1,1
60,410079507001006,41007020933038038S001001A,41007020933038038S,-123.908996582,46.0143356323,1,1
61,410079509001010,41007020952001001S002001A,41007020952001001S,-123.916122437,46.0138397217,2,1
63,410079509001000,41007020953001001S018001A,41007020953001001S,-123.915275574,46.0138206482,18,1
81,410079507001001,41007020956001001S001001A,41007020956001001S,-123.900245667,46.0135231018,1,1
82,410079509001000,41007020959001001S003001A,41007020959001001S,-123.914405823,46.0135574341,3,1
85,410079507001025,41007020960001001S001001A,41007020960001001S,-123.910522461,46.013885498,1,1
86,410079507001025,41007020961001001S001001A,41007020961001001S,-123.909934998,46.013885498,1,1
87,410079509001000,41007020964001001S001001A,41007020964001001S,-123.915016174,46.0135002136,1,1
88,410079507001027,41007020966001001S005001A,41007020966001001S,-123.910453796,46.0135765076,5,1
93,410079507001025,41007020968001001S001001A,41007020968001001S,-123.910018921,46.0136489868,1,1
94,410079507001025,41007020969001001S001001A,41007020969001001S,-123.909576416,46.0136604309,1,1
95,410079507001025,41007020970001001S001001A,41007020970001001S,-123.910049438,46.0136795044,1,1
96,410079509001010,41007020971001001S001001A,41007020971001001S,-123.91645813,46.0134239197,1,1
97,410079507001025,41007020972001001S001001A,41007020972001001S,-123.909988403,46.0136680603,1,1
98,410079509001010,41007020973001001S002001A,41007020973001001S,-123.915939331,46.0134277344,2,1
100,410079507001025,41007020974001001S001001A,41007020974001001S,-123.910049438,46.0136642456,1,1
101,410079507001025,41007020975001001S001001A,41007020975001001S,-123.909988403,46.0136528015,1,1
102,410079507001025,41007020976001001S001001A,41007020976001001S,-123.910049438,46.0136489868,1,1
103,410079507001025,41007020977001001S001001A,41007020977001001S,-123.909988403,46.0136375427,1,1
104,410079507001025,41007020978001001S001001A,41007020978001001S,-123.910041809,46.013633728,1,1
105,410079507001027,41007020979001001S001001A,41007020979001001S,-123.909561157,46.0136032104,1,1
106,410079507001025,41007020980001001S001001A,41007020980001001S,-123.909980774,46.0136222839,1,1
107,410079507001025,41007020981001001S001001A,41007020981001001S,-123.909645081,46.013633728,1,1
108,410079507001025,41007020982001001S001001A,41007020982001001S,-123.910041809,46.0136184692,1,1
109,410079507001027,41007020990001001S001001A,41007020990001001S,-123.90952301,46.0134925842,1,1
110,410079507001027,41007020991001001S001001A,41007020991001001S,-123.909500122,46.0134353638,1,1
111,410079509001010,41007020993001001S001001A,41007020993001001S,-123.916526794,46.0131187439,1,1
112,410079509001039,41007020994001001S001001A,41007020994001001S,-123.915962219,46.0131797791,1,1
113,410079509001000,41007020995001001S004001A,41007020995001001S,-123.912597656,46.0131721497,4,1
117,410079509001002,41007020997001001S001001A,41007020997001001S,-123.915405273,46.0131835938,1,1
118,410079509001002,41007020998001001S001001A,41007020998001001S,-123.915016174,46.0131835938,1,1
119,410079509001001,41007021000001001S001001A,41007021000001001S,-123.91456604,46.0131225586,1,1
120,410079509001001,41007021001001001S002001A,41007021001001001S,-123.914367676,46.0131149292,2,1
122,410079509001001,41007021002001001S001001A,41007021002001001S,-123.914070129,46.0131187439,1,1
123,410079507001027,41007021004001001S001001A,41007021004001001S,-123.909439087,46.0133209229,1,1
124,410079509001000,41007021006001001S001001A,41007021006001001S,-123.913421631,46.0130348206,1,1
125,410079509001000,41007021007001001S001001A,41007021007001001S,-123.913269043,46.0130386353,1,1
126,410079509001000,41007021009001001S002001A,41007021009001001S,-123.913024902,46.0130386353,2,1
128,410079509001000,41007021010001001S002001A,41007021010001001S,-123.912338257,46.0131454468,2,1
130,410079509001000,41007021011001001S002001A,41007021011001001S,-123.912185669,46.0131416321,2,1
132,410079509001039,41007021013001001S001001A,41007021013001001S,-123.91595459,46.01304245,1,1
133,410079507001027,41007021014001001S001001A,41007021014001001S,-123.909416199,46.0132598877,1,1
134,410079509001002,41007021017001001S001001A,41007021017001001S,-123.915016174,46.0130462646,1,1
135,410079507001027,41007021019001001S001001A,41007021019001001S,-123.910263062,46.0131950378,1,1
136,410079507001027,41007021022001001S001001A,41007021022001001S,-123.909385681,46.0131759644,1,1
137,410079507001027,41007021025001001S001001A,41007021025001001S,-123.91027832,46.0131340027,1,1
138,410079509001010,41007021026001001S001001A,41007021026001001S,-123.916549683,46.0129013062,1,1
139,410079509001039,41007021027001001S001001A,41007021027001001S,-123.91595459,46.0128707886,1,1
140,410079507001027,41007021029001001S001001A,41007021029001001S,-123.909370422,46.0131187439,1,1
141,410079509001002,41007021031001001S001001A,41007021031001001S,-123.915016174,46.0129089355,1,1
142,410079507001027,41007021033001001S001001A,41007021033001001S,-123.91028595,46.0130729675,1,1
143,410079509001001,41007021034001001S001001A,41007021034001001S,-123.914459229,46.0129127502,1,1
144,410079509001001,41007021035001001S001001A,41007021035001001S,-123.914070129,46.0128479004,1,1
145,410079507001001,41007021038001001S001001A,41007021038001001S,-123.896064758,46.0127220154,1,1
146,410079509001000,41007021041001001S003001A,41007021041001001S,-123.912078857,46.0129547119,3,1
149,410079507001027,41007021043001001S001001A,41007021043001001S,-123.909339905,46.0130310059,1,1
150,410079509001010,41007021045001001S001001A,41007021045001001S,-123.916557312,46.0127601624,1,1
151,410079509001002,41007021048001001S001001A,41007021048001001S,-123.915405273,46.0127716064,1,1
152,410079509001000,41007021049001001S003001A,41007021049001001S,-123.912666321,46.012840271,3,1
155,410079507001027,41007021050001001S001001A,41007021050001001S,-123.909317017,46.0129737854,1,1
156,410079509001002,41007021051001001S001001A,41007021051001001S,-123.915008545,46.0127716064,1,1
157,410079509001000,41007021052001001S003001A,41007021052001001S,-123.912475586,46.012840271,3,1
160,410079507001027,41007021053001001S001001A,41007021053001001S,-123.909797668,46.0129547119,1,1
161,410079509001001,41007021055001001S001001A,41007021055001001S,-123.914459229,46.0127754211,1,1
162,410079509001000,41007021056001001S002001A,41007021056001001S,-123.912078857,46.0128631592,2,1
164,410079509001000,41007021058001001S001001A,41007021058001001S,-123.913513184,46.0127792358,1,1
165,410079509001039,41007021059001001S001001A,41007021059001001S,-123.91595459,46.0126647949,1,1
166,410079509001000,41007021060001001S002001A,41007021060001001S,-123.913124084,46.0127830505,2,1
168,410079507001027,41007021061001001S001001A,41007021061001001S,-123.90977478,46.0128974915,1,1
169,410079507001027,41007021065001001S001001A,41007021065001001S,-123.909286499,46.0128898621,1,1
170,410079509001010,41007021066001001S002001A,41007021066001001S,-123.91658783,46.0126266479,2,1
172,410079509001000,41007021067001001S002001A,41007021067001001S,-123.912078857,46.0127716064,2,1
174,410079509001002,41007021068001001S001001A,41007021068001001S,-123.915405273,46.0126342773,1,1
175,410079509001002,41007021070001001S001001A,41007021070001001S,-123.915008545,46.0126342773,1,1
176,410079507001027,41007021071001001S001001A,41007021071001001S,-123.909263611,46.0128288269,1,1
177,410079509001000,41007021072001001S002001A,41007021072001001S,-123.912567139,46.0126953125,2,1
179,410079509001001,41007021073001001S001001A,41007021073001001S,-123.914459229,46.012638092,1,1
180,410079509001001,41007021076001001S001001A,41007021076001001S,-123.9140625,46.0126419067,1,1
181,410079507001014,41007021077001001S001001A,41007021077001001S,-123.906539917,46.0125160217,1,1
182,410079509001000,41007021078001001S002001A,41007021078001001S,-123.913513184,46.0126419067,2,1
184,410079509001000,41007021080001001S002001A,41007021080001001S,-123.913124084,46.0126457214,2,1
186,410079509001000,41007021081001001S002001A,41007021081001001S,-123.912086487,46.0126876831,2,1
188,410079507001014,41007021082001001S002001A,41007021082001001S,-123.904472351,46.0116882324,2,1
190,410079507001014,41007021084001001S001001A,41007021084001001S,-123.903869629,46.0116920471,1,1
191,410079509001010,41007021085001001S002001A,41007021085001001S,-123.916595459,46.0124893188,2,1
193,410079507001014,41007021086001001S001001A,41007021086001001S,-123.903022766,46.0117950439,1,1
194,410079509001039,41007021087001001S001001A,41007021087001001S,-123.91595459,46.0124931335,1,1
195,410079509001002,41007021089001001S001001A,41007021089001001S,-123.915405273,46.0124969482,1,1
196,410079507001014,41007021090001001S001001A,41007021090001001S,-123.902122498,46.0116920471,1,1
197,410079509001002,41007021091001001S001001A,41007021091001001S,-123.915008545,46.0125007629,1,1
198,410079507001027,41007021092001001S001001A,41007021092001001S,-123.909217834,46.0126953125,1,1
199,410079509001000,41007021093001001S002001A,41007021093001001S,-123.912567139,46.0125350952,2,1
201,410079509001000,41007021095001001S002001A,41007021095001001S,-123.912086487,46.0125999451,2,1
203,410079509001001,41007021096001001S001001A,41007021096001001S,-123.914459229,46.0125007629,1,1
204,410079509001001,41007021097001001S001001A,41007021097001001S,-123.9140625,46.0125045776,1,1
205,410079509001000,41007021098001001S001001A,41007021098001001S,-123.913513184,46.0124931335,1,1
206,410079509001000,41007021099001001S001001A,41007021099001001S,-123.913116455,46.0124931335,1,1
207,410079507001027,41007021102001001S001001A,41007021102001001S,-123.909202576,46.0126342773,1,1
208,410079509001000,41007021104001001S002001A,41007021104001001S,-123.912086487,46.0125007629,2,1
210,410079507001032,41007021105001001S014001A,41007021105001001S,-123.910423279,46.0121002197,14,1
224,410079509001002,41007021106001001S001001A,41007021106001001S,-123.915397644,46.0123596191,1,1
225,410079509001002,41007021108001001S002001A,41007021108001001S,-123.915008545,46.0123634338,2,1
227,410079509001001,41007021109001001S001001A,41007021109001001S,-123.914459229,46.0123634338,1,1
228,410079509001001,41007021110001001S001001A,41007021110001001S,-123.9140625,46.0123672485,1,1
229,410079509001000,41007021112001001S002001A,41007021112001001S,-123.912567139,46.0123062134,2,1
231,410079509001009,41007021113001001S001001A,41007021113001001S,-123.916748047,46.012172699,1,1
232,410079509001000,41007021114001001S002001A,41007021114001001S,-123.913574219,46.0122871399,2,1
234,410079509001000,41007021115001001S002001A,41007021115001001S,-123.912078857,46.0123062134,2,1
236,410079509001000,41007021116001001S002001A,41007021116001001S,-123.913314819,46.0122871399,2,1
238,410079509001009,41007021117001001S001001A,41007021117001001S,-123.916343689,46.0121803284,1,1
239,410079509001000,41007021118001001S002001A,41007021118001001S,-123.91305542,46.0122871399,2,1
241,410079509001009,41007021119001001S001001A,41007021119001001S,-123.91595459,46.0121803284,1,1
242,410079509001002,41007021120001001S001001A,41007021120001001S,-123.915397644,46.01222229,1,1
243,410079509001002,41007021121001001S001001A,41007021121001001S,-123.915008545,46.0122261047,1,1
244,410079509001001,41007021123001001S001001A,41007021123001001S,-123.914451599,46.0122261047,1,1
245,410079509001001,41007021125001001S001001A,41007021125001001S,-123.9140625,46.0122299194,1,1
246,410079507001014,41007021127001001S001001A,41007021127001001S,-123.900306702,46.012298584,1,1
247,410079509001009,41007021129001001S001001A,41007021129001001S,-123.916641235,46.0119285583,1,1
248,410079509001012,41007021130001001S002001A,41007021130001001S,-123.915496826,46.0119056702,2,1
250,410079509001012,41007021131001001S001001A,41007021131001001S,-123.915298462,46.0119094849,1,1
251,410079509001012,41007021132001001S001001A,41007021132001001S,-123.915000916,46.0119857788,1,1
252,410079509001013,41007021133001001S001001A,41007021133001001S,-123.914451599,46.0119819641,1,1
253,410079509001013,41007021134001001S001001A,41007021134001001S,-123.9140625,46.0119819641,1,1
254,410079509001014,41007021136001001S002001A,41007021136001001S,-123.913505554,46.0119857788,2,1
256,410079509001014,41007021138001001S001001A,41007021138001001S,-123.913116455,46.0119781494,1,1
257,410079509001000,41007021140001001S002001A,41007021140001001S,-123.912567139,46.0119552612,2,1
259,410079509001000,41007021141001001S002001A,41007021141001001S,-123.912063599,46.0119552612,2,1
261,410079507001005,41007021142001001S001001A,41007021142001001S,-123.899627686,46.0122451782,1,1
262,410079507001005,41007021143001001S001001A,41007021143001001S,-123.899276733,46.0122566223,1,1
263,410079509001009,41007021144002001S001001A,41007021144002001S,-123.916343689,46.0116271973,1,1
264,410079509001009,41007021144002002S001001A,41007021144002002S,-123.916282654,46.0117721558,1,1
265,410079507001005,41007021145001001S001001A,41007021145001001S,-123.898918152,46.0122566223,1,1
266,410079509001009,41007021146001001S001001A,41007021146001001S,-123.91594696,46.0117759705,1,1
267,410079507001005,41007021147001001S001001A,41007021147001001S,-123.898551941,46.0122528076,1,1
268,410079509001012,41007021148001001S001001A,41007021148001001S,-123.915000916,46.0118484497,1,1
269,410079509001013,41007021149001001S001001A,41007021149001001S,-123.914451599,46.011844635,1,1
270,410079509001013,41007021150001001S001001A,41007021150001001S,-123.914054871,46.011844635,1,1
271,410079509001014,41007021151001001S001001A,41007021151001001S,-123.913505554,46.0118484497,1,1
272,410079507001014,41007021153001001S002001A,41007021153001001S,-123.906547546,46.0118293762,2,1
274,410079507001005,41007021154001001S001001A,41007021154001001S,-123.896095276,46.0122756958,1,1
275,410079509001014,41007021155001001S001001A,41007021155001001S,-123.913116455,46.0118103027,1,1
276,410079507001005,41007021157001001S002001A,41007021157001001S,-123.895530701,46.0122375488,2,1
278,410079509001009,41007021158001001S003001A,41007021158001001S,-123.916793823,46.0116577148,3,1
281,410079507001014,41007021159001001S001001A,41007021159001001S,-123.905075073,46.011264801,1,1
282,410079507001005,41007021161001001S002001A,41007021161001001S,-123.895027161,46.0122146606,2,1
284,410079507001032,41007021162001001S037001A,41007021162001001S,-123.908935547,46.011100769,37,1
321,410079509001012,41007021164001001S001001A,41007021164001001S,-123.915397644,46.0117034912,1,1
322,410079509001000,41007021165001001S002001A,41007021165001001S,-123.912261963,46.01171875,2,1
324,410079509001012,41007021166001001S001001A,41007021166001001S,-123.915000916,46.0117073059,1,1
325,410079507001005,41007021167001001S001001A,41007021167001001S,-123.897911072,46.0121383667,1,1
326,410079509001013,41007021168001001S001001A,41007021168001001S,-123.914451599,46.0116958618,1,1
327,410079509001013,41007021169001001S001001A,41007021169001001S,-123.914054871,46.0116729736,1,1
328,410079507001005,41007021170001001S001001A,41007021170001001S,-123.897514343,46.012096405,1,1
329,410079509001014,41007021171001001S001001A,41007021171001001S,-123.913505554,46.0116767883,1,1
330,410079507001005,41007021172001001S001001A,41007021172001001S,-123.897186279,46.0120277405,1,1
331,410079507001005,41007021173001001S002001A,41007021173001001S,-123.896781921,46.0119171143,2,1
333,410079509001014,41007021175001001S001001A,41007021175001001S,-123.913108826,46.0116500854,1,1
334,410079507001005,41007021177001001S001001A,41007021177001001S,-123.895858765,46.0120353699,1,1
335,410079509001012,41007021178001001S001001A,41007021178001001S,-123.915390015,46.0115509033,1,1
336,410079509001012,41007021179001001S001001A,41007021179001001S,-123.915000916,46.0115776062,1,1
337,410079509001009,41007021180001001S001001A,41007021180001001S,-123.91594696,46.0115890503,1,1
338,410079509001009,41007021181001001S002001A,41007021181001001S,-123.916770935,46.0114517212,2,1
340,410079507001005,41007021182001001S001001A,41007021182001001S,-123.894874573,46.0119590759,1,1
341,410079509001013,41007021183001001S001001A,41007021183001001S,-123.914451599,46.0114784241,1,1
342,410079507001032,41007021185022001S002001A,41007021185022001S,-123.91015625,46.0112533569,2,1
344,410079507001032,41007021185022002S002001A,41007021185022002S,-123.91015625,46.0112533569,2,1
346,410079507001032,41007021185022003S002001A,41007021185022003S,-123.91015625,46.0112533569,2,1
348,410079507001032,41007021185022004S002001A,41007021185022004S,-123.91015625,46.0112533569,2,1
350,410079507001032,41007021185022005S002001A,41007021185022005S,-123.91015625,46.0112533569,2,1
352,410079507001032,41007021185022006S002001A,41007021185022006S,-123.91015625,46.0112533569,2,1
354,410079507001032,41007021185022007S002001A,41007021185022007S,-123.91015625,46.0112533569,2,1
356,410079507001032,41007021185022008S002001A,41007021185022008S,-123.91015625,46.0112533569,2,1
358,410079507001032,41007021185022009S002001A,41007021185022009S,-123.91015625,46.0112533569,2,1
360,410079507001032,41007021185022010S002001A,41007021185022010S,-123.91015625,46.0112533569,2,1
362,410079507001032,41007021185022011S002001A,41007021185022011S,-123.91015625,46.0112533569,2,1
364,410079507001032,41007021185022012S002001A,41007021185022012S,-123.91015625,46.0112533569,2,1
366,410079507001032,41007021185022013S002001A,41007021185022013S,-123.91015625,46.0112533569,2,1
368,410079507001032,41007021185022014S002001A,41007021185022014S,-123.91015625,46.0112533569,2,1
370,410079507001032,41007021185022015S002001A,41007021185022015S,-123.91015625,46.0112533569,2,1
372,410079507001032,41007021185022016S002001A,41007021185022016S,-123.91015625,46.0112533569,2,1
374,410079507001032,41007021185022017S002001A,41007021185022017S,-123.91015625,46.0112533569,2,1
376,410079507001032,41007021185022018S002001A,41007021185022018S,-123.91015625,46.0112533569,2,1
378,410079507001032,41007021185022019S002001A,41007021185022019S,-123.91015625,46.0112533569,2,1
380,410079507001032,41007021185022020S002001A,41007021185022020S,-123.91015625,46.0112533569,2,1
382,410079507001032,41007021185022021S002001A,41007021185022021S,-123.91015625,46.0112533569,2,1
384,410079507001032,41007021185022022S002001A,41007021185022022S,-123.91015625,46.0112533569,2,1
386,410079509001013,41007021186001001S001001A,41007021186001001S,-123.914054871,46.011505127,1,1
387,410079509001009,41007021187001001S001001A,41007021187001001S,-123.91594696,46.0113830566,1,1
388,410079509001014,41007021188001001S001001A,41007021188001001S,-123.913505554,46.011505127,1,1
389,410079509001014,41007021189001001S001001A,41007021189001001S,-123.913108826,46.0115089417,1,1
390,410079509001012,41007021191001001S002001A,41007021191001001S,-123.915000916,46.0113868713,2,1
392,410079511001025,41007021193001001S018001A,41007021193001001S,-123.900169373,46.0115203857,18,1
410,410079509001012,41007021195001001S001001A,41007021195001001S,-123.915390015,46.0113639832,1,1
411,410079509001013,41007021198001001S001001A,41007021198001001S,-123.914054871,46.0113677979,1,1
412,410079509001009,41007021199001001S001001A,41007021199001001S,-123.916748047,46.0111923218,1,1
413,410079509001014,41007021200001001S001001A,41007021200001001S,-123.913505554,46.0113716125,1,1
414,410079509001014,41007021201001001S001001A,41007021201001001S,-123.913108826,46.0113716125,1,1
415,410079509001013,41007021204001001S001001A,41007021204001001S,-123.91444397,46.0112571716,1,1
416,410079511001027,41007021205001001S034001A,41007021205001001S,-123.898406982,46.0105552673,34,1
450,410079507001014,41007021206001001S002001A,41007021206001001S,-123.906555176,46.0114135742,2,1
452,410079509001009,41007021207001001S001001A,41007021207001001S,-123.915939331,46.0111236572,1,1
453,410079509001012,41007021208001001S001001A,41007021208001001S,-123.915390015,46.0111923218,1,1
454,410079509001013,41007021209001001S001001A,41007021209001001S,-123.914054871,46.0112304688,1,1
455,410079509001012,41007021211001001S001001A,41007021211001001S,-123.914993286,46.0111961365,1,1
456,410079509001014,41007021212001001S001001A,41007021212001001S,-123.913497925,46.0112342834,1,1
457,410079507001005,41007021213001001S002001A,41007021213001001S,-123.896087646,46.0115203857,2,1
459,410079509001014,41007021214001001S001001A,41007021214001001S,-123.913108826,46.0112342834,1,1
460,410079509001000,41007021215008001S001001A,41007021215008001S,-123.912239075,46.0109291077,1,1
461,410079509001000,41007021215008002S001001A,41007021215008002S,-123.912239075,46.0109291077,1,1
462,410079509001000,41007021215008003S001001A,41007021215008003S,-123.912239075,46.0109291077,1,1
463,410079509001000,41007021215008004S001001A,41007021215008004S,-123.912239075,46.0109291077,1,1
464,410079509001000,41007021215008005S001001A,41007021215008005S,-123.912239075,46.0109291077,1,1
465,410079509001000,41007021215008006S001001A,41007021215008006S,-123.912239075,46.0109291077,1,1
466,410079509001000,41007021215008007S001001A,41007021215008007S,-123.912239075,46.0109291077,1,1
467,410079509001000,41007021215008008S001001A,41007021215008008S,-123.912239075,46.0109291077,1,1
468,410079507001005,41007021216001001S001001A,41007021216001001S,-123.895385742,46.0115242004,1,1
469,410079507001005,41007021217001001S002001A,41007021217001001S,-123.895729065,46.011516571,2,1
471,410079509001009,41007021218001001S001001A,41007021218001001S,-123.916999817,46.0107498169,1,1
472,410079509001013,41007021219001001S001001A,41007021219001001S,-123.91444397,46.0110931396,1,1
473,410079509001012,41007021220001001S001001A,41007021220001001S,-123.915390015,46.0110549927,1,1
474,410079509001013,41007021221001001S001001A,41007021221001001S,-123.914047241,46.0110931396,1,1
475,410079509001012,41007021222001001S001001A,41007021222001001S,-123.914993286,46.0110588074,1,1
476,410079509001014,41007021223001001S001001A,41007021223001001S,-123.913497925,46.0110969543,1,1
477,410079509001014,41007021225001001S001001A,41007021225001001S,-123.913108826,46.0110969543,1,1
478,410079507001014,41007021226001001S001001A,41007021226001001S,-123.906562805,46.0110740662,1,1
479,410079507001014,41007021227001001S001001A,41007021227001001S,-123.905754089,46.0110740662,1,1
480,410079509001012,41007021228001001S001001A,41007021228001001S,-123.915390015,46.0108680725,1,1
481,410079509001013,41007021229001001S001001A,41007021229001001S,-123.914047241,46.0109558105,1,1
482,410079509001013,41007021230001001S001001A,41007021230001001S,-123.91444397,46.010925293,1,1
483,410079509001012,41007021231001001S002001A,41007021231001001S,-123.914993286,46.0109291077,2,1
485,410079509001014,41007021232001001S001001A,41007021232001001S,-123.913497925,46.0109596252,1,1
486,410079509001014,41007021234001001S001001A,41007021234001001S,-123.913108826,46.0109596252,1,1
487,410079509001009,41007021237001001S001001A,41007021237001001S,-123.915939331,46.0108032227,1,1
488,410079509001012,41007021238001001S001001A,41007021238001001S,-123.914993286,46.0108070374,1,1
489,410079511001025,41007021239001001S001001A,41007021239001001S,-123.900634766,46.0112495422,1,1
490,410079509001013,41007021240001001S002001A,41007021240001001S,-123.914047241,46.0106811523,2,1
492,410079509001014,41007021241001001S001001A,41007021241001001S,-123.913497925,46.0108222961,1,1
493,410079509001014,41007021242001001S001001A,41007021242001001S,-123.913101196,46.0108222961,1,1
494,410079509001013,41007021243001001S001001A,41007021243001001S,-123.91444397,46.010761261,1,1
495,410079511001025,41007021244001001S001001A,41007021244001001S,-123.900688171,46.0112419128,1,1
496,410079511001025,41007021245001001S001001A,41007021245001001S,-123.900650024,46.0111961365,1,1
497,410079509001009,41007021246001001S001001A,41007021246001001S,-123.916130066,46.0106048584,1,1
498,410079509001009,41007021247001001S001001A,41007021247001001S,-123.915870667,46.0106086731,1,1
499,410079509001012,41007021248001001S001001A,41007021248001001S,-123.915481567,46.0106086731,1,1
500,410079511001025,41007021249001001S001001A,41007021249001001S,-123.900665283,46.0111541748,1,1
501,410079509001012,41007021250001001S001001A,41007021250001001S,-123.915283203,46.0106086731,1,1
502,410079511001025,41007021252001001S001001A,41007021252001001S,-123.90071106,46.0111083984,1,1
503,410079509001014,41007021253001001S002001A,41007021253001001S,-123.913497925,46.0106163025,2,1
505,410079509001014,41007021254001001S001001A,41007021254001001S,-123.913101196,46.010684967,1,1
506,410079511001025,41007021255001001S001001A,41007021255001001S,-123.900756836,46.011100769,1,1
507,410079511001025,41007021256001001S001001A,41007021256001001S,-123.900726318,46.0110549927,1,1
508,410079511001025,41007021258001001S001001A,41007021258001001S,-123.900764465,46.0110778809,1,1
509,410079507001014,41007021259001001S001001A,41007021259001001S,-123.902633667,46.0107383728,1,1
510,410079507001014,41007021260001001S001001A,41007021260001001S,-123.906570435,46.0106506348,1,1
511,410079511001025,41007021261001001S001001A,41007021261001001S,-123.900718689,46.0110015869,1,1
512,410079507001014,41007021262001001S001001A,41007021262001001S,-123.905960083,46.0106468201,1,1
513,410079507001014,41007021263002001S001001A,41007021263002001S,-123.901542664,46.0107460022,1,1
514,410079507001014,41007021263002002S001001A,41007021263002002S,-123.901542664,46.0107460022,1,1
